Training: 2023-10-28 15:28:49,202-rank_id: 0
Training: 2023-10-28 15:28:55,109-backbone student loaded successfully!
Training: 2023-10-28 15:28:58,189-Total Step is: 458602
Training: 2023-10-28 15:32:07,273-Reducer buckets have been rebuilt in this iteration.
Training: 2023-10-28 15:32:07,375-Reducer buckets have been rebuilt in this iteration.
Training: 2023-10-28 15:32:42,082-Speed 1090.38 samples/sec   Loss 47.2671   Epoch: 0   Global Step: 100   Required: 48 hours
Training: 2023-10-28 15:32:59,491-Speed 1102.90 samples/sec   Loss 50.7769   Epoch: 0   Global Step: 150   Required: 47 hours
Training: 2023-10-28 15:33:16,720-Speed 1114.48 samples/sec   Loss 54.1023   Epoch: 0   Global Step: 200   Required: 46 hours
Training: 2023-10-28 15:33:34,189-Speed 1099.10 samples/sec   Loss 53.3306   Epoch: 0   Global Step: 250   Required: 46 hours
Training: 2023-10-28 15:33:51,636-Speed 1100.54 samples/sec   Loss 52.7256   Epoch: 0   Global Step: 300   Required: 46 hours
Training: 2023-10-28 15:34:08,885-Speed 1113.16 samples/sec   Loss 52.9174   Epoch: 0   Global Step: 350   Required: 45 hours
Training: 2023-10-28 15:34:27,228-Speed 1046.81 samples/sec   Loss 52.0297   Epoch: 0   Global Step: 400   Required: 46 hours
Training: 2023-10-28 15:34:44,424-Speed 1116.59 samples/sec   Loss 50.6551   Epoch: 0   Global Step: 450   Required: 45 hours
Training: 2023-10-28 15:35:01,818-Speed 1103.89 samples/sec   Loss 49.9098   Epoch: 0   Global Step: 500   Required: 45 hours
Training: 2023-10-28 15:35:19,192-Speed 1105.12 samples/sec   Loss 49.4316   Epoch: 0   Global Step: 550   Required: 45 hours
Training: 2023-10-28 15:35:36,768-Speed 1092.48 samples/sec   Loss 49.2548   Epoch: 0   Global Step: 600   Required: 45 hours
Training: 2023-10-28 15:35:54,441-Speed 1086.45 samples/sec   Loss 49.0954   Epoch: 0   Global Step: 650   Required: 45 hours
Training: 2023-10-28 15:36:11,673-Speed 1114.24 samples/sec   Loss 48.8473   Epoch: 0   Global Step: 700   Required: 45 hours
Training: 2023-10-28 15:36:28,916-Speed 1113.57 samples/sec   Loss 50.0267   Epoch: 0   Global Step: 750   Required: 45 hours
Training: 2023-10-28 15:36:46,526-Speed 1090.31 samples/sec   Loss 49.4688   Epoch: 0   Global Step: 800   Required: 45 hours
Training: 2023-10-28 15:37:03,790-Speed 1112.18 samples/sec   Loss 48.7850   Epoch: 0   Global Step: 850   Required: 45 hours
Training: 2023-10-28 15:37:20,976-Speed 1117.31 samples/sec   Loss 48.0142   Epoch: 0   Global Step: 900   Required: 45 hours
Training: 2023-10-28 15:37:38,157-Speed 1117.54 samples/sec   Loss 48.1617   Epoch: 0   Global Step: 950   Required: 45 hours
Training: 2023-10-28 15:37:55,409-Speed 1113.01 samples/sec   Loss 47.9430   Epoch: 0   Global Step: 1000   Required: 45 hours
