Training: 2023-10-31 13:29:30,981-rank_id: 0
Training: 2023-10-31 13:29:36,437-backbone student loaded successfully!
Training: 2023-10-31 13:29:39,669-Total Step is: 458602
Training: 2023-10-31 13:32:48,319-Reducer buckets have been rebuilt in this iteration.
Training: 2023-10-31 13:32:48,405-Reducer buckets have been rebuilt in this iteration.
Training: 2023-10-31 13:33:22,997-Speed 1095.97 samples/sec   Loss 47.0505   Epoch: 0   Global Step: 100   Required: 48 hours
Training: 2023-10-31 13:33:40,456-Speed 1099.82 samples/sec   Loss 47.5120   Epoch: 0   Global Step: 150   Required: 47 hours
Training: 2023-10-31 13:33:58,305-Speed 1075.75 samples/sec   Loss 47.8606   Epoch: 0   Global Step: 200   Required: 46 hours
Training: 2023-10-31 13:34:16,098-Speed 1079.13 samples/sec   Loss 47.7351   Epoch: 0   Global Step: 250   Required: 46 hours
Training: 2023-10-31 13:34:33,778-Speed 1086.04 samples/sec   Loss 48.8239   Epoch: 0   Global Step: 300   Required: 46 hours
Training: 2023-10-31 13:34:50,932-Speed 1119.33 samples/sec   Loss 48.1162   Epoch: 0   Global Step: 350   Required: 46 hours
Training: 2023-10-31 13:35:08,094-Speed 1118.81 samples/sec   Loss 47.9122   Epoch: 0   Global Step: 400   Required: 45 hours
Training: 2023-10-31 13:35:26,192-Speed 1060.97 samples/sec   Loss 47.7642   Epoch: 0   Global Step: 450   Required: 45 hours
Training: 2023-10-31 13:35:43,144-Speed 1132.62 samples/sec   Loss 48.4639   Epoch: 0   Global Step: 500   Required: 45 hours
Training: 2023-10-31 13:36:00,054-Speed 1135.51 samples/sec   Loss 48.3843   Epoch: 0   Global Step: 550   Required: 45 hours
Training: 2023-10-31 13:36:17,166-Speed 1122.07 samples/sec   Loss 47.2331   Epoch: 0   Global Step: 600   Required: 45 hours
Training: 2023-10-31 13:36:34,797-Speed 1089.05 samples/sec   Loss 47.3822   Epoch: 0   Global Step: 650   Required: 45 hours
Training: 2023-10-31 13:36:51,655-Speed 1139.01 samples/sec   Loss 47.3321   Epoch: 0   Global Step: 700   Required: 45 hours
Training: 2023-10-31 13:37:08,512-Speed 1139.08 samples/sec   Loss 47.0387   Epoch: 0   Global Step: 750   Required: 45 hours
Training: 2023-10-31 13:37:25,384-Speed 1138.06 samples/sec   Loss 47.1894   Epoch: 0   Global Step: 800   Required: 45 hours
Training: 2023-10-31 13:37:42,342-Speed 1132.26 samples/sec   Loss 46.7914   Epoch: 0   Global Step: 850   Required: 44 hours
Training: 2023-10-31 13:37:59,023-Speed 1151.09 samples/sec   Loss 46.7712   Epoch: 0   Global Step: 900   Required: 44 hours
Training: 2023-10-31 13:38:16,033-Speed 1128.76 samples/sec   Loss 46.6309   Epoch: 0   Global Step: 950   Required: 44 hours
Training: 2023-10-31 13:38:33,383-Speed 1106.68 samples/sec   Loss 46.5061   Epoch: 0   Global Step: 1000   Required: 44 hours
Training: 2023-10-31 13:38:50,335-Speed 1132.70 samples/sec   Loss 46.4081   Epoch: 0   Global Step: 1050   Required: 44 hours
Training: 2023-10-31 13:39:07,211-Speed 1137.72 samples/sec   Loss 46.4499   Epoch: 0   Global Step: 1100   Required: 44 hours
Training: 2023-10-31 13:39:24,161-Speed 1132.80 samples/sec   Loss 46.2110   Epoch: 0   Global Step: 1150   Required: 44 hours
Training: 2023-10-31 13:39:41,748-Speed 1091.82 samples/sec   Loss 46.2389   Epoch: 0   Global Step: 1200   Required: 44 hours
Training: 2023-10-31 13:39:58,977-Speed 1114.45 samples/sec   Loss 46.0622   Epoch: 0   Global Step: 1250   Required: 44 hours
Training: 2023-10-31 13:40:15,865-Speed 1136.95 samples/sec   Loss 45.8808   Epoch: 0   Global Step: 1300   Required: 44 hours
Training: 2023-10-31 13:40:32,823-Speed 1132.26 samples/sec   Loss 45.9308   Epoch: 0   Global Step: 1350   Required: 44 hours
Training: 2023-10-31 13:40:49,638-Speed 1141.89 samples/sec   Loss 45.9084   Epoch: 0   Global Step: 1400   Required: 44 hours
Training: 2023-10-31 13:41:07,022-Speed 1104.55 samples/sec   Loss 45.7506   Epoch: 0   Global Step: 1450   Required: 44 hours
Training: 2023-10-31 13:41:24,121-Speed 1122.94 samples/sec   Loss 45.5972   Epoch: 0   Global Step: 1500   Required: 44 hours
Training: 2023-10-31 13:41:41,154-Speed 1127.24 samples/sec   Loss 45.5091   Epoch: 0   Global Step: 1550   Required: 44 hours
Training: 2023-10-31 13:41:58,088-Speed 1133.89 samples/sec   Loss 45.4691   Epoch: 0   Global Step: 1600   Required: 44 hours
Training: 2023-10-31 13:42:15,248-Speed 1118.90 samples/sec   Loss 45.4248   Epoch: 0   Global Step: 1650   Required: 44 hours
Training: 2023-10-31 13:42:32,423-Speed 1118.00 samples/sec   Loss 45.2715   Epoch: 0   Global Step: 1700   Required: 44 hours
Training: 2023-10-31 13:42:49,625-Speed 1116.18 samples/sec   Loss 45.2234   Epoch: 0   Global Step: 1750   Required: 44 hours
Training: 2023-10-31 13:43:06,705-Speed 1124.16 samples/sec   Loss 45.2672   Epoch: 0   Global Step: 1800   Required: 44 hours
Training: 2023-10-31 13:43:23,660-Speed 1132.47 samples/sec   Loss 45.0471   Epoch: 0   Global Step: 1850   Required: 44 hours
Training: 2023-10-31 13:43:40,611-Speed 1132.74 samples/sec   Loss 45.0408   Epoch: 0   Global Step: 1900   Required: 44 hours
Training: 2023-10-31 13:43:58,566-Speed 1069.40 samples/sec   Loss 45.0994   Epoch: 0   Global Step: 1950   Required: 44 hours
Training: 2023-10-31 13:44:16,112-Speed 1094.32 samples/sec   Loss 44.9305   Epoch: 0   Global Step: 2000   Required: 44 hours
Training: 2023-10-31 13:44:33,312-Speed 1116.34 samples/sec   Loss 44.8012   Epoch: 0   Global Step: 2050   Required: 44 hours
Training: 2023-10-31 13:44:50,197-Speed 1137.24 samples/sec   Loss 44.8118   Epoch: 0   Global Step: 2100   Required: 44 hours
Training: 2023-10-31 13:45:07,156-Speed 1132.16 samples/sec   Loss 44.6346   Epoch: 0   Global Step: 2150   Required: 44 hours
Training: 2023-10-31 13:45:24,423-Speed 1112.01 samples/sec   Loss 44.5500   Epoch: 0   Global Step: 2200   Required: 44 hours
Training: 2023-10-31 13:45:41,436-Speed 1128.62 samples/sec   Loss 44.5023   Epoch: 0   Global Step: 2250   Required: 44 hours
Training: 2023-10-31 13:45:59,124-Speed 1085.51 samples/sec   Loss 44.4511   Epoch: 0   Global Step: 2300   Required: 44 hours
Training: 2023-10-31 13:46:16,177-Speed 1125.99 samples/sec   Loss 44.2781   Epoch: 0   Global Step: 2350   Required: 44 hours
Training: 2023-10-31 13:46:32,919-Speed 1146.88 samples/sec   Loss 44.1669   Epoch: 0   Global Step: 2400   Required: 44 hours
Training: 2023-10-31 13:46:49,817-Speed 1136.28 samples/sec   Loss 44.1333   Epoch: 0   Global Step: 2450   Required: 44 hours
Training: 2023-10-31 13:47:07,074-Speed 1112.64 samples/sec   Loss 43.9991   Epoch: 0   Global Step: 2500   Required: 44 hours
Training: 2023-10-31 13:47:24,033-Speed 1132.16 samples/sec   Loss 43.9990   Epoch: 0   Global Step: 2550   Required: 44 hours
Training: 2023-10-31 13:47:41,108-Speed 1124.53 samples/sec   Loss 43.8608   Epoch: 0   Global Step: 2600   Required: 44 hours
Training: 2023-10-31 13:47:58,061-Speed 1132.60 samples/sec   Loss 43.7407   Epoch: 0   Global Step: 2650   Required: 44 hours
Training: 2023-10-31 13:48:15,430-Speed 1105.57 samples/sec   Loss 43.7515   Epoch: 0   Global Step: 2700   Required: 44 hours
Training: 2023-10-31 13:48:32,543-Speed 1122.02 samples/sec   Loss 43.6022   Epoch: 0   Global Step: 2750   Required: 44 hours
Training: 2023-10-31 13:48:49,698-Speed 1119.23 samples/sec   Loss 43.5754   Epoch: 0   Global Step: 2800   Required: 44 hours
Training: 2023-10-31 13:49:07,101-Speed 1103.31 samples/sec   Loss 43.4076   Epoch: 0   Global Step: 2850   Required: 44 hours
Training: 2023-10-31 13:49:24,007-Speed 1135.76 samples/sec   Loss 43.3020   Epoch: 0   Global Step: 2900   Required: 44 hours
Training: 2023-10-31 13:49:41,419-Speed 1102.72 samples/sec   Loss 43.2879   Epoch: 0   Global Step: 2950   Required: 44 hours
Training: 2023-10-31 13:49:58,416-Speed 1129.71 samples/sec   Loss 43.1878   Epoch: 0   Global Step: 3000   Required: 44 hours
Training: 2023-10-31 13:50:15,459-Speed 1126.59 samples/sec   Loss 43.0151   Epoch: 0   Global Step: 3050   Required: 44 hours
Training: 2023-10-31 13:50:33,106-Speed 1088.08 samples/sec   Loss 42.8713   Epoch: 0   Global Step: 3100   Required: 44 hours
Training: 2023-10-31 13:50:50,162-Speed 1125.75 samples/sec   Loss 42.7438   Epoch: 0   Global Step: 3150   Required: 44 hours
Training: 2023-10-31 13:51:07,368-Speed 1115.96 samples/sec   Loss 42.7253   Epoch: 0   Global Step: 3200   Required: 44 hours
Training: 2023-10-31 13:51:24,431-Speed 1125.28 samples/sec   Loss 42.5619   Epoch: 0   Global Step: 3250   Required: 44 hours
Training: 2023-10-31 13:51:41,682-Speed 1113.07 samples/sec   Loss 42.6371   Epoch: 0   Global Step: 3300   Required: 44 hours
Training: 2023-10-31 13:51:58,638-Speed 1132.39 samples/sec   Loss 42.4050   Epoch: 0   Global Step: 3350   Required: 44 hours
Training: 2023-10-31 13:52:15,668-Speed 1127.46 samples/sec   Loss 42.2523   Epoch: 0   Global Step: 3400   Required: 44 hours
Training: 2023-10-31 13:52:32,758-Speed 1123.52 samples/sec   Loss 42.2541   Epoch: 0   Global Step: 3450   Required: 44 hours
Training: 2023-10-31 13:52:49,938-Speed 1117.64 samples/sec   Loss 42.1148   Epoch: 0   Global Step: 3500   Required: 44 hours
Training: 2023-10-31 13:53:07,290-Speed 1106.56 samples/sec   Loss 42.0422   Epoch: 0   Global Step: 3550   Required: 44 hours
Training: 2023-10-31 13:53:24,699-Speed 1102.96 samples/sec   Loss 41.7935   Epoch: 0   Global Step: 3600   Required: 44 hours
Training: 2023-10-31 13:53:41,670-Speed 1131.42 samples/sec   Loss 41.7151   Epoch: 0   Global Step: 3650   Required: 43 hours
Training: 2023-10-31 13:53:59,311-Speed 1088.41 samples/sec   Loss 41.5316   Epoch: 0   Global Step: 3700   Required: 44 hours
Training: 2023-10-31 13:54:16,044-Speed 1147.50 samples/sec   Loss 41.4518   Epoch: 0   Global Step: 3750   Required: 43 hours
Training: 2023-10-31 13:54:33,162-Speed 1121.65 samples/sec   Loss 41.3251   Epoch: 0   Global Step: 3800   Required: 43 hours
Training: 2023-10-31 13:54:49,981-Speed 1141.63 samples/sec   Loss 41.3363   Epoch: 0   Global Step: 3850   Required: 43 hours
Training: 2023-10-31 13:55:06,855-Speed 1137.93 samples/sec   Loss 41.1655   Epoch: 0   Global Step: 3900   Required: 43 hours
Training: 2023-10-31 13:55:23,513-Speed 1152.68 samples/sec   Loss 40.9131   Epoch: 0   Global Step: 3950   Required: 43 hours
Training: 2023-10-31 13:55:40,464-Speed 1132.70 samples/sec   Loss 40.7954   Epoch: 0   Global Step: 4000   Required: 43 hours
Training: 2023-10-31 13:55:57,393-Speed 1134.23 samples/sec   Loss 40.6977   Epoch: 0   Global Step: 4050   Required: 43 hours
Training: 2023-10-31 13:56:14,279-Speed 1137.10 samples/sec   Loss 40.6976   Epoch: 0   Global Step: 4100   Required: 43 hours
Training: 2023-10-31 13:56:31,213-Speed 1133.86 samples/sec   Loss 40.5156   Epoch: 0   Global Step: 4150   Required: 43 hours
Training: 2023-10-31 13:56:48,209-Speed 1129.78 samples/sec   Loss 40.2793   Epoch: 0   Global Step: 4200   Required: 43 hours
Training: 2023-10-31 13:57:05,205-Speed 1129.74 samples/sec   Loss 40.1006   Epoch: 0   Global Step: 4250   Required: 43 hours
Training: 2023-10-31 13:57:22,641-Speed 1101.21 samples/sec   Loss 40.0057   Epoch: 0   Global Step: 4300   Required: 43 hours
Training: 2023-10-31 13:57:39,774-Speed 1120.74 samples/sec   Loss 40.0425   Epoch: 0   Global Step: 4350   Required: 43 hours
Training: 2023-10-31 13:57:57,006-Speed 1114.22 samples/sec   Loss 39.8034   Epoch: 0   Global Step: 4400   Required: 43 hours
Training: 2023-10-31 13:58:14,144-Speed 1120.41 samples/sec   Loss 39.5792   Epoch: 0   Global Step: 4450   Required: 43 hours
