Training: 2023-10-23 16:26:59,925-rank_id: 0
Training: 2023-10-23 16:27:05,601-backbone student loaded successfully!
Training: 2023-10-23 16:27:08,816-Total Step is: 458602
Training: 2023-10-23 16:30:13,505-Reducer buckets have been rebuilt in this iteration.
Training: 2023-10-23 16:30:13,545-Reducer buckets have been rebuilt in this iteration.
Training: 2023-10-23 16:30:48,559-Speed 1091.59 samples/sec   Loss 46.8222   Epoch: 0   Global Step: 100   Required: 49 hours
Training: 2023-10-23 16:31:06,620-Speed 1063.11 samples/sec   Loss 48.1908   Epoch: 0   Global Step: 150   Required: 48 hours
Training: 2023-10-23 16:31:24,220-Speed 1090.97 samples/sec   Loss 48.7304   Epoch: 0   Global Step: 200   Required: 47 hours
Training: 2023-10-23 16:31:41,715-Speed 1097.53 samples/sec   Loss 50.5581   Epoch: 0   Global Step: 250   Required: 46 hours
Training: 2023-10-23 16:31:59,201-Speed 1098.06 samples/sec   Loss 51.0205   Epoch: 0   Global Step: 300   Required: 46 hours
Training: 2023-10-23 16:32:16,744-Speed 1094.53 samples/sec   Loss 55.8002   Epoch: 0   Global Step: 350   Required: 46 hours
Training: 2023-10-23 16:32:34,251-Speed 1096.80 samples/sec   Loss 53.1608   Epoch: 0   Global Step: 400   Required: 46 hours
Training: 2023-10-23 16:32:51,635-Speed 1104.52 samples/sec   Loss 53.5825   Epoch: 0   Global Step: 450   Required: 46 hours
Training: 2023-10-23 16:33:09,114-Speed 1098.51 samples/sec   Loss 50.0864   Epoch: 0   Global Step: 500   Required: 45 hours
Training: 2023-10-23 16:33:26,556-Speed 1100.80 samples/sec   Loss 50.4795   Epoch: 0   Global Step: 550   Required: 45 hours
Training: 2023-10-23 16:33:44,254-Speed 1084.93 samples/sec   Loss 49.5151   Epoch: 0   Global Step: 600   Required: 45 hours
Training: 2023-10-23 16:34:01,695-Speed 1100.94 samples/sec   Loss 50.2195   Epoch: 0   Global Step: 650   Required: 45 hours
Training: 2023-10-23 16:34:20,090-Speed 1043.83 samples/sec   Loss 49.1679   Epoch: 0   Global Step: 700   Required: 45 hours
Training: 2023-10-23 16:34:38,170-Speed 1062.00 samples/sec   Loss 49.6487   Epoch: 0   Global Step: 750   Required: 45 hours
Training: 2023-10-23 16:34:55,732-Speed 1093.32 samples/sec   Loss 48.9827   Epoch: 0   Global Step: 800   Required: 45 hours
Training: 2023-10-23 16:35:13,065-Speed 1107.73 samples/sec   Loss 48.4712   Epoch: 0   Global Step: 850   Required: 45 hours
Training: 2023-10-23 16:35:30,401-Speed 1107.58 samples/sec   Loss 47.8325   Epoch: 0   Global Step: 900   Required: 45 hours
Training: 2023-10-23 16:35:47,674-Speed 1111.62 samples/sec   Loss 48.4260   Epoch: 0   Global Step: 950   Required: 45 hours
Training: 2023-10-23 16:36:05,006-Speed 1107.81 samples/sec   Loss 48.1375   Epoch: 0   Global Step: 1000   Required: 45 hours
Training: 2023-10-23 16:36:22,152-Speed 1119.89 samples/sec   Loss 47.6962   Epoch: 0   Global Step: 1050   Required: 45 hours
Training: 2023-10-23 16:36:39,339-Speed 1117.17 samples/sec   Loss 47.5180   Epoch: 0   Global Step: 1100   Required: 45 hours
Training: 2023-10-23 16:36:56,551-Speed 1115.53 samples/sec   Loss 47.3665   Epoch: 0   Global Step: 1150   Required: 45 hours
Training: 2023-10-23 16:37:13,925-Speed 1105.16 samples/sec   Loss 47.1435   Epoch: 0   Global Step: 1200   Required: 45 hours
Training: 2023-10-23 16:37:30,958-Speed 1127.30 samples/sec   Loss 47.0887   Epoch: 0   Global Step: 1250   Required: 45 hours
Training: 2023-10-23 16:37:47,968-Speed 1128.82 samples/sec   Loss 46.8362   Epoch: 0   Global Step: 1300   Required: 45 hours
Training: 2023-10-23 16:38:05,609-Speed 1088.42 samples/sec   Loss 46.5965   Epoch: 0   Global Step: 1350   Required: 45 hours
Training: 2023-10-23 16:38:22,840-Speed 1114.31 samples/sec   Loss 46.4429   Epoch: 0   Global Step: 1400   Required: 45 hours
Training: 2023-10-23 16:38:39,888-Speed 1126.30 samples/sec   Loss 46.8675   Epoch: 0   Global Step: 1450   Required: 45 hours
Training: 2023-10-23 16:38:57,236-Speed 1106.81 samples/sec   Loss 46.3442   Epoch: 0   Global Step: 1500   Required: 45 hours
Training: 2023-10-23 16:39:14,203-Speed 1131.66 samples/sec   Loss 46.1874   Epoch: 0   Global Step: 1550   Required: 45 hours
Training: 2023-10-23 16:39:31,242-Speed 1126.88 samples/sec   Loss 46.0734   Epoch: 0   Global Step: 1600   Required: 44 hours
Training: 2023-10-23 16:39:48,578-Speed 1107.59 samples/sec   Loss 46.0859   Epoch: 0   Global Step: 1650   Required: 44 hours
Training: 2023-10-23 16:40:05,850-Speed 1111.65 samples/sec   Loss 45.8775   Epoch: 0   Global Step: 1700   Required: 44 hours
Training: 2023-10-23 16:40:23,124-Speed 1111.55 samples/sec   Loss 45.8110   Epoch: 0   Global Step: 1750   Required: 44 hours
Training: 2023-10-23 16:40:40,500-Speed 1105.02 samples/sec   Loss 45.7859   Epoch: 0   Global Step: 1800   Required: 44 hours
Training: 2023-10-23 16:40:57,599-Speed 1122.95 samples/sec   Loss 45.6991   Epoch: 0   Global Step: 1850   Required: 44 hours
Training: 2023-10-23 16:41:14,674-Speed 1124.50 samples/sec   Loss 45.5877   Epoch: 0   Global Step: 1900   Required: 44 hours
Training: 2023-10-23 16:41:31,665-Speed 1130.09 samples/sec   Loss 45.5075   Epoch: 0   Global Step: 1950   Required: 44 hours
Training: 2023-10-23 16:41:49,377-Speed 1084.05 samples/sec   Loss 45.4539   Epoch: 0   Global Step: 2000   Required: 44 hours
Training: 2023-10-23 16:42:07,122-Speed 1082.08 samples/sec   Loss 45.3479   Epoch: 0   Global Step: 2050   Required: 44 hours
Training: 2023-10-23 16:42:24,755-Speed 1088.93 samples/sec   Loss 45.3425   Epoch: 0   Global Step: 2100   Required: 44 hours
Training: 2023-10-23 16:42:42,087-Speed 1107.85 samples/sec   Loss 45.3600   Epoch: 0   Global Step: 2150   Required: 44 hours
Training: 2023-10-23 16:42:59,384-Speed 1110.05 samples/sec   Loss 45.2739   Epoch: 0   Global Step: 2200   Required: 44 hours
Training: 2023-10-23 16:43:16,347-Speed 1131.99 samples/sec   Loss 45.2825   Epoch: 0   Global Step: 2250   Required: 44 hours
Training: 2023-10-23 16:43:34,178-Speed 1076.79 samples/sec   Loss 45.1599   Epoch: 0   Global Step: 2300   Required: 44 hours
Training: 2023-10-23 16:43:51,761-Speed 1092.06 samples/sec   Loss 45.0706   Epoch: 0   Global Step: 2350   Required: 44 hours
Training: 2023-10-23 16:44:09,073-Speed 1109.11 samples/sec   Loss 44.9731   Epoch: 0   Global Step: 2400   Required: 44 hours
Training: 2023-10-23 16:44:26,506-Speed 1101.41 samples/sec   Loss 44.8816   Epoch: 0   Global Step: 2450   Required: 44 hours
Training: 2023-10-23 16:44:43,713-Speed 1115.87 samples/sec   Loss 44.8995   Epoch: 0   Global Step: 2500   Required: 44 hours
Training: 2023-10-23 16:45:01,405-Speed 1085.32 samples/sec   Loss 44.7791   Epoch: 0   Global Step: 2550   Required: 44 hours
Training: 2023-10-23 16:45:18,730-Speed 1108.29 samples/sec   Loss 44.6763   Epoch: 0   Global Step: 2600   Required: 44 hours
Training: 2023-10-23 16:45:35,791-Speed 1125.38 samples/sec   Loss 44.6618   Epoch: 0   Global Step: 2650   Required: 44 hours
Training: 2023-10-23 16:45:53,347-Speed 1093.69 samples/sec   Loss 44.6673   Epoch: 0   Global Step: 2700   Required: 44 hours
Training: 2023-10-23 16:46:10,716-Speed 1105.46 samples/sec   Loss 44.4373   Epoch: 0   Global Step: 2750   Required: 44 hours
Training: 2023-10-23 16:46:28,292-Speed 1092.46 samples/sec   Loss 44.5099   Epoch: 0   Global Step: 2800   Required: 44 hours
Training: 2023-10-23 16:46:45,744-Speed 1100.22 samples/sec   Loss 44.4331   Epoch: 0   Global Step: 2850   Required: 44 hours
Training: 2023-10-23 16:47:03,343-Speed 1091.02 samples/sec   Loss 44.2237   Epoch: 0   Global Step: 2900   Required: 44 hours
