Training: 2023-10-30 11:10:51,987-rank_id: 0
Training: 2023-10-30 11:10:58,106-load teacher backbone init, failed!
Training: 2023-10-30 11:11:01,504-Total Step is: 458602
Training: 2023-10-30 11:17:23,071-rank_id: 0
Training: 2023-10-30 11:17:29,800-backbone teacher loaded successfully!
Training: 2023-10-30 11:17:31,096-Total Step is: 458602
Training: 2023-10-30 11:20:41,539-Reducer buckets have been rebuilt in this iteration.
Training: 2023-10-30 11:20:41,590-Reducer buckets have been rebuilt in this iteration.
Training: 2023-10-30 11:21:16,280-Speed 1095.51 samples/sec   Loss 41.2652 ArcLoss 23.2688 MSE 17.9964  Epoch: 0   Global Step: 100   Required: 49 hours
Training: 2023-10-30 11:21:33,757-Speed 1098.61 samples/sec   Loss 39.9822 ArcLoss 23.2369 MSE 16.7453  Epoch: 0   Global Step: 150   Required: 47 hours
Training: 2023-10-30 11:21:51,588-Speed 1076.86 samples/sec   Loss 39.2926 ArcLoss 23.1538 MSE 16.1388  Epoch: 0   Global Step: 200   Required: 47 hours
Training: 2023-10-30 11:22:09,111-Speed 1095.74 samples/sec   Loss 38.5856 ArcLoss 23.0179 MSE 15.5677  Epoch: 0   Global Step: 250   Required: 46 hours
Training: 2023-10-30 11:22:26,703-Speed 1091.51 samples/sec   Loss 38.0674 ArcLoss 22.9042 MSE 15.1633  Epoch: 0   Global Step: 300   Required: 46 hours
Training: 2023-10-30 11:22:44,003-Speed 1109.89 samples/sec   Loss 37.4377 ArcLoss 22.7791 MSE 14.6586  Epoch: 0   Global Step: 350   Required: 46 hours
Training: 2023-10-30 11:23:01,520-Speed 1096.15 samples/sec   Loss 36.8827 ArcLoss 22.6113 MSE 14.2714  Epoch: 0   Global Step: 400   Required: 46 hours
Training: 2023-10-30 11:23:18,704-Speed 1117.40 samples/sec   Loss 36.3468 ArcLoss 22.4381 MSE 13.9087  Epoch: 0   Global Step: 450   Required: 45 hours
Training: 2023-10-30 11:23:36,536-Speed 1076.78 samples/sec   Loss 35.9312 ArcLoss 22.3178 MSE 13.6134  Epoch: 0   Global Step: 500   Required: 45 hours
Training: 2023-10-30 11:23:53,689-Speed 1119.34 samples/sec   Loss 35.4968 ArcLoss 22.1656 MSE 13.3312  Epoch: 0   Global Step: 550   Required: 45 hours
Training: 2023-10-30 11:24:10,614-Speed 1134.54 samples/sec   Loss 34.9778 ArcLoss 21.9003 MSE 13.0775  Epoch: 0   Global Step: 600   Required: 45 hours
Training: 2023-10-30 11:24:27,620-Speed 1129.09 samples/sec   Loss 34.6307 ArcLoss 21.7919 MSE 12.8388  Epoch: 0   Global Step: 650   Required: 45 hours
Training: 2023-10-30 11:24:44,820-Speed 1116.33 samples/sec   Loss 34.2351 ArcLoss 21.6410 MSE 12.5941  Epoch: 0   Global Step: 700   Required: 45 hours
Training: 2023-10-30 11:25:01,785-Speed 1131.81 samples/sec   Loss 33.9162 ArcLoss 21.4862 MSE 12.4300  Epoch: 0   Global Step: 750   Required: 45 hours
Training: 2023-10-30 11:25:18,897-Speed 1122.10 samples/sec   Loss 33.5370 ArcLoss 21.2976 MSE 12.2394  Epoch: 0   Global Step: 800   Required: 45 hours
Training: 2023-10-30 11:25:35,987-Speed 1123.47 samples/sec   Loss 33.1994 ArcLoss 21.1622 MSE 12.0372  Epoch: 0   Global Step: 850   Required: 45 hours
Training: 2023-10-30 11:25:52,837-Speed 1139.57 samples/sec   Loss 32.8956 ArcLoss 20.9937 MSE 11.9019  Epoch: 0   Global Step: 900   Required: 44 hours
Training: 2023-10-30 11:26:09,669-Speed 1140.77 samples/sec   Loss 32.5329 ArcLoss 20.7960 MSE 11.7369  Epoch: 0   Global Step: 950   Required: 44 hours
Training: 2023-10-30 11:26:26,783-Speed 1121.94 samples/sec   Loss 32.1658 ArcLoss 20.6543 MSE 11.5114  Epoch: 0   Global Step: 1000   Required: 44 hours
